file,Group,NewID
X20210409_MK_CTE_CTE_9284_Insol_1to1Dil_Slot1_39_1_4436.Intensity,CTE,CTE_21
X20210409_MK_CTE_CTE_9284_Insol_Slot1_39_1_4462.Intensity,CTE,CTE_21
X20210409_MK_CTE_CTE_9345_Insol_1to1Dil_Slot1_24_1_4420.Intensity,CTE,CTE_22
X20210409_MK_CTE_CTE_9361_Insol_1to1Dil_Slot1_36_1_4433.Intensity,CTE,CTE_23
X20210409_MK_CTE_CTE_9361_Insol_Slot1_36_1_4459.Intensity,CTE,CTE_23
X20210409_MK_CTE_CTE_9600_Insol_1to1Dil_Slot1_14_1_4448.Intensity,CTE,CTE_24
X20210409_MK_CTE_CTE_9985_Insol_1to1Dil_Slot1_40_1_4437.Intensity,CTE,CTE_x1
X20210409_MK_CTE_CTE_9985_Insol_Slot1_40_1_4463.Intensity,CTE,CTE_x1
X20210204_MK_MGH_Insol_CTRL_2405_1to1Dil_Slot1_20_1_3725.Intensity,CTRL,CTRL_01
X20210204_MK_MGH_Insol_CTRL_2380_1to1Dil_Slot1_20_1_3642.Intensity,CTRL,CTRL_02
X20210204_MK_MGH_Insol_CTRL_2177_1to1Dil_Slot1_20_1_3738.Intensity,CTRL,CTRL_03
X20210204_MK_MGH_Insol_CTRL_2097_1to1Dil_Slot1_21_1_3726.Intensity,CTRL,CTRL_04
X20210204_MK_MGH_Insol_CTRL_2068_1to1Dil_Slot1_20_1_3670.Intensity,CTRL,CTRL_05
X20210204_MK_MGH_Insol_CTRL_1887_1to1Dil_Slot1_32_1_3622.Intensity,CTRL,CTRL_06
X20210204_MK_MGH_Insol_CTRL_1662_1to1Dil_Slot1_33_1_3623.Intensity,CTRL,CTRL_07
X20210204_MK_MGH_Insol_CTRL_1641_1to1Dil_Slot1_32_1_3657.Intensity,CTRL,CTRL_08
X20210204_MK_MGH_Insol_CTRL_1477_1to1Dil_Slot1_20_1_3609.Intensity,CTRL,CTRL_09
X20210204_MK_MGH_Insol_CTRL_1365_1to1Dil_Slot1_21_1_3739.Intensity,CTRL,CTRL_10
X20210204_MK_MGH_Insol_CTRL_1346_1to1Dil_Slot1_33_1_3658.Intensity,CTRL,CTRL_11
X20210204_MK_MGH_Insol_CTRL_1322_1to1Dil_Slot1_21_1_3643.Intensity,CTRL,CTRL_12
X20210204_MK_MGH_Insol_CTRL_1190_1to1Dil_Slot1_21_1_3610.Intensity,CTRL,CTRL_13
X20210204_MK_MGH_Insol_CTRL_967_1to1Dil_Slot1_21_1_3671.Intensity,CTRL,CTRL_14
X20210211_MK_CTRL_273_HSB3590_Insol_1to1Dil_Slot1_39_1_3707.Intensity,CTRL,CTRL_15
X20210211_MK_CTRL_272_HSB3540_Insol_1to1Dil_Slot1_38_1_3706.Intensity,CTRL,CTRL_16
X20210211_MK_CTRL_270_HSB3529_Insol_1to1Dil_Slot1_37_1_3705.Intensity,CTRL,CTRL_17
X20210211_MK_CTRL_212_HSB4135_Insol_1to1Dil_Slot1_36_1_3704.Intensity,CTRL,CTRL_18
X20210211_MK_CTRL_210_HSB4064_Insol_1to1Dil_Slot1_35_1_3703.Intensity,CTRL,CTRL_19
X20210211_MK_CTRL_158_AN19145_Insol_1to1Dil_Slot1_34_1_3702.Intensity,CTRL,CTRL_20
X20210407_MK_MGH_CTRL_2012_Insol_1to1Dil_Slot1_10_1_4226.Intensity,CTRL,CTRL_21
X20210409_MK_MGH_CTRL_1901_Insol_1to1Dil_Slot1_20_1_4414.Intensity,CTRL,CTRL_22
X20210409_MK_MGH_CTRL_2009_Insol_1to1Dil_Slot1_19_1_4413.Intensity,CTRL,CTRL_23
X20210409_MK_MGH_CTRL_2191_Insol_1to1Dil_Slot1_21_1_4415.Intensity,CTRL,CTRL_24
X20210409_MK_CTE_CTRL_10383_Insol_1to1Dil_Slot1_22_1_4418.Intensity,CTRL,CTRL_x1
X20210409_MK_CTE_CTRL_10640_Insol_1to1Dil_Slot1_23_1_4419.Intensity,CTRL,CTRL_x2
X20210409_MK_CTE_CTRL_20847_Insol_1to1Dil_Slot1_34_1_4431.Intensity,CTRL,CTRL_x3
X20210409_MK_CTE_CTRL_20847_Insol_Slot1_34_1_4457.Intensity,CTRL,CTRL_x3
X20210204_MK_MGH_Insol_DLB_2383_1to1Dil_Slot1_18_1_3607.Intensity,DLB,DLB_01
X20210204_MK_MGH_Insol_DLB_2187_1to1Dil_Slot1_30_1_3620.Intensity,DLB,DLB_02
X20210204_MK_MGH_Insol_DLB_2046_1to1Dil_Slot1_18_1_3668.Intensity,DLB,DLB_03
X20210204_MK_MGH_Insol_DLB_1996_1to1Dil_Slot1_18_1_3640.Intensity,DLB,DLB_04
X20210204_MK_MGH_Insol_DLB_1921_1to1Dil_Slot1_30_1_3655.Intensity,DLB,DLB_05
X20210204_MK_MGH_Insol_DLB_1773_1to1Dil_Slot1_18_1_3736.Intensity,DLB,DLB_06
X20210204_MK_MGH_Insol_DLB_1665_1to1Dil_Slot1_19_1_3608.Intensity,DLB,DLB_07
X20210204_MK_MGH_Insol_DLB_1612_1to1Dil_Slot1_19_1_3641.Intensity,DLB,DLB_08
X20210204_MK_MGH_Insol_DLB_1611_1to1Dil_Slot1_19_1_3669.Intensity,DLB,DLB_09
X20210204_MK_MGH_Insol_DLB_1514_1to1Dil_Slot1_31_1_3656.Intensity,DLB,DLB_10
X20210204_MK_MGH_Insol_DLB_1512_1to1Dil_Slot1_18_1_3723.Intensity,DLB,DLB_11
X20210204_MK_MGH_Insol_DLB_1494_1to1Dil_Slot1_19_1_3724.Intensity,DLB,DLB_12
X20210204_MK_MGH_Insol_DLB_751_1to1Dil_Slot1_19_1_3737.Intensity,DLB,DLB_13
X20210204_MK_MGH_Insol_DLB_417_1to1Dil_Slot1_31_1_3621.Intensity,DLB,DLB_14
X20210407_MK_MGH_fAD_2265_Insol_1to1Dil_Slot1_13_1_4229.Intensity,fAD,fAD_26
X20210407_MK_MGH_fAD_2243_Insol_1to1Dil_Slot1_12_1_4228.Intensity,fAD,fAD_27
X20210407_MK_MGH_fAD_2165_Insol_1to1Dil_Slot1_19_1_4236.Intensity,fAD,fAD_28
X20210407_MK_MGH_fAD_2048_Insol_1to1Dil_Slot1_11_1_4227.Intensity,fAD,fAD_29
X20210204_MK_MGH_Insol_PiD_2350_1to1Dil_Slot1_16_1_3638.Intensity,PiD,PiD_01
